학교,코드 번호,제목,Name,Strategic field,Keywords
CSEM,CS-016,AI-Driven Adaptive Process Optimization Platform for Smart Manufacturing,Johan Poccard,"AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Knowledge Services, Robotics/, Automation, Machinery, Robot Vision and Production, Automation Technologies, R&D /, Engineering Services, Testing / Inspection /, Analysis Techniques"
CSEM,CS-017,Fibonacci ML SoC - Hierarchically Scalable Machine Learning System-on-Chip for Ultra-Low-Power Edge Processing,Costas Meimetis,"Semiconductor/Display, Advanced Bio, Cybersecurity, AI, Advanced Robotics & Manufacturing","Semiconductor Systems, Bio and Medical Devices, AI Processors, Edge AI System-on-Chip, (SoC), Embedded, Artificial, Intelligence, Low-Power, Machine, Learning Hardware"
CSEM,CS-018,Lidar for Marine Resource Exploration,Eleonoor Bosch,Aerospace/Marine,"Energy & Resources, MechanicalㆍMaterials, Resources, Resource Survey &, Exploration, Shipbuilding/, Marine Systems, Marine Leisure and, Exploration Equipment"
CSEM,CS-019,Vision-enhanced AI-based control for object capture (gripper),Yves-Julien Regamey,"AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, MechanicalㆍMaterials, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies, Industrial/, General, Machinery, Other Industrial/General, Machinery Technologies"
CSEM,CS-020,"Flash LIDAR for lunar exploration, rover, spacecraft navigation and in-orbit servicing",Stéphane Humbert,Aerospace/Marine,"Information & Communication, MechanicalㆍMaterials, Satellite /, Radio Wave, Satellite Navigation, Aerospace, Systems, Other Aerospace, System Technologies"
CSEM,CS-021,Multifunctional encapsulation thin film for opto-electronic devices,Xavier Bulliard,None,"Semiconductors and displays, Semiconductors,, display materials, parts, and equipment"
RPI,RPI-001,Cobalt-free and high-rate stable 5V lithium nickel manganese oxide spinel cathodes enabled via surface oxygen vacancies,Nikhil Koratkar (Principal Investigator),Secondary Battery,"ElectricalㆍElectronics, ElectricalㆍElectronics, Batteries, Secondary Batteries, Batteries, Battery Materials"
RPI,RPI-002,Hydrogen production from the water-gas shift reaction using Pt single atom catalysts,Steven L. Tait,Hydrogen,"Chemical Technologies, Energy & Resource Technologies, Petrochemicals &, Catalysis, Catalysis application, technologies, Renewable Energy, Waste-to-energy tech"
RPI,RPI-003,Teaching Robots to Weld through Natural Language Dialogue and Demonstration,Sergei Nirenburg,Advanced Robotics & Manufacturing,"Mechanical Materials, Mechanical Materials, Robotics Automation, Machinery, Robot Control and, Intelligence Technologies, Casting/Welding, Casting/Welding-, related Software"
RPI,RPI-004,Autonomous Operation of Microreactors,Hyun Gook Kang,Next-gen Nuclear Power,"Energy & Resources, Nuclear Power, Nuclear Plant Operation &, Maintenance"
RPI,RPI-005,Modularized SMR Simulator for Cloud Computing Environment,Hyun Gook Kang,Next-gen Nuclear Power,"Energy & Resources, Nuclear Power, Next-Generation Nuclear, Power"
RPI,RPI-006,Development of High Gadolinium-Doped Nuclear Fuels for Small Modular Reactors (SMRs),Jie Lian,Next-gen Nuclear Power,"Energy & Resources, Energy & Resources, Nuclear Power, Nuclear Fuel and, Component Material, Nuclear Power, Next-Generation, Nuclear Power"
